ftc.delta_t,ftc.goal_count,config.dummy,action.delta,state.value,reward,terminal,time,simulator,predict,sim_id,statistics.episode_reward,statistics.episode_count,statistics.episode_rate,statistics.iteration_count,statistics.iteration_rate
,,,,,,,,,,,,,,,
-4436820.0,,,,,,,,,,,,,,,
1218.0,,,,,,,,,,,,,,,
741.0,,-1,,2,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,0,0,0,0
1012.0,1,,-1,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,0,0,1,2
2140.000000000058,1,,1,2,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,0,0,2,4
432.0,1,,1,3,1,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,3,0,0,3,7
410.0000000000582,,,,,,,,,,,,,,,
225.9999999999418,,-1,,1,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,1,2,0,7
341.9999999999418,1,,0,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,1,2,1,9
417.0,2,,0,1,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,3,1,2,2,12
415.0000000000582,2,,-1,0,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,5,1,2,3,14
494.0,2,,-1,-1,2,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,7,1,2,4,17
382.0,,,,,,,,,,,,,,,
206.0,,-1,,0,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,2,4,0,17
314.0,0,,-1,-1,0,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,2,4,1,19
383.0,,,,,,,,,,,,,,,
227.00000000011642,,-1,,1,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,3,7,0,19
2026.0000000001164,1,,0,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,3,7,1,20
427.0000000000582,1,,1,2,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,3,7,2,22
387.0000000000582,2,,-1,1,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,4,3,7,3,25
475.0,2,,1,2,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,6,3,7,4,27
382.0,2,,0,2,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,8,3,7,5,29
383.0,2,,0,2,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,10,3,7,6,32
385.0000000001164,3,,-1,1,3,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,13,3,7,7,34
383.0,3,,1,2,3,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,16,3,7,8,36
379.0,3,,1,3,3,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,19,3,7,9,38
414.0,,,,,,,,,,,,,,,
202.0000000000582,,-1,,0,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,4,9,0,38
2934.9999999998836,0,,0,0,0,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,4,9,1,39
569.0000000000582,0,,-1,-1,0,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,4,9,2,41
463.0,,,,,,,,,,,,,,,
254.0,,-1,,2,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,5,10,0,41
390.9999999998836,0,,1,3,0,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,5,10,1,43
548.0,,,,,,,,,,,,,,,
249.9999999999418,,-1,,1,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,6,12,0,43
371.0,1,,0,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,6,12,1,45
446.9999999999418,1,,1,2,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,6,12,2,47
596.0,1,,1,3,1,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,3,6,12,3,49
456.9999999999418,,,,,,,,,,,,,,,
270.9999999998836,,-1,,0,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,7,14,0,49
356.0000000000582,1,,1,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,7,14,1,48
2651.000000000058,1,,-1,0,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,7,14,2,50
557.0,1,,-1,-1,1,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,3,7,14,3,52
504.0,,,,,,,,,,,,,,,
268.0,,-1,,2,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,8,15,0,52
417.0,0,,0,2,0,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,8,15,1,53
520.0,0,,1,3,0,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,8,15,2,55
508.0,,,,,,,,,,,,,,,
271.0,,-1,,0,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,9,17,0,55
460.0,0,,0,0,0,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,9,17,1,57
630.0,1,,1,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,9,17,2,59
541.0,1,,1,2,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,9,17,3,61
489.0,2,,-1,1,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,4,9,17,4,60
2524.0,2,,-1,0,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,6,9,17,5,61
474.0,2,,0,0,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,8,9,17,6,63
441.0,3,,1,1,3,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,11,9,17,7,65
436.0,3,,-1,0,3,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,14,9,17,8,67
439.0,3,,0,0,3,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,17,9,17,9,68
437.0,3,,-1,-1,3,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,20,9,17,10,70
433.0,,,,,,,,,,,,,,,
239.0,,-1,,2,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,10,18,0,70
364.0,1,,-1,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,10,18,1,72
544.0,1,,-1,0,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,10,18,2,74
438.0,2,,1,1,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,4,10,18,3,72
2371.0,2,,1,2,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,6,10,18,4,74
471.0,2,,0,2,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,8,10,18,5,75
440.0,2,,0,2,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,10,10,18,6,77
440.0,2,,1,3,2,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,12,10,18,7,79
542.0,,,,,,,,,,,,,,,
238.0,,-1,,0,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,11,19,0,79
370.0,1,,1,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,11,19,1,80
470.0,1,,-1,0,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,11,19,2,82
447.0,1,,0,0,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,3,11,19,3,84
452.0,1,,0,0,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,4,11,19,4,85
437.0,1,,-1,-1,1,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,5,11,19,5,84
2424.0,,,,,,,,,,,,,,,
